"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","<U+0001F4A1> Visual coding for machine learning is better with Node-RED!
 
In this #MadeWithTFJS, @pvaneckw from @IBM shares h… https://t.co/VBN2eYyo8H",FALSE,157,NA,2021-04-20,TRUE,NA,"1384544936138313729",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",51,FALSE,FALSE,NA,NA
"2","<U+0001F4E3> TensorFlow 2.5.0-rc1 has been released!
 
Read to find out more about the major features and improvements <U+2193> https://t.co/HuYqRbA3Uv",FALSE,245,NA,2021-04-16,FALSE,NA,"1383148192431235076",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",62,FALSE,FALSE,NA,NA
"3","<U+0001F4A1> Working with TensorFlow? We want to see your projects! 

Submit your work to the #TFCommunitySpotlight program fo… https://t.co/ZkEe1Lg0yN",FALSE,157,NA,2021-04-16,TRUE,NA,"1383104245965099014",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",24,FALSE,FALSE,NA,NA
"4","<U+0001F4E3> Mobilenet V3 is now available on #TFHub!

<U+0001F7E0> 4 image classifiers
<U+0001F7E0> 4 feature vector models for transfer learning… https://t.co/Bs0qii2PFY",FALSE,233,NA,2021-04-14,TRUE,NA,"1382362989311971331",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",64,FALSE,FALSE,NA,NA
"5","<U+0001F5BC> A picture is worth a thousand words - especially when the words used to describe it are wrong.

In this… https://t.co/ia4Z4nVYGR",FALSE,161,NA,2021-04-13,TRUE,NA,"1382091230650249216",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",30,FALSE,FALSE,NA,NA
"6","<U+0001F929> We are excited to be at NVIDIA #GTC21! 

See what’s new and exciting in TensorFlow in this comprehensive review t… https://t.co/b82Vr7SlyB",FALSE,63,NA,2021-04-13,TRUE,NA,"1382045979021619205",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",13,FALSE,FALSE,NA,NA
"7","<U+23F0> Get ready for the #DevToolsChat in 1 HOUR!

Join us at 11am PT for a LIVE chat on @IntelDevTools as Penporn Koana… https://t.co/F4Zeds6tl3",FALSE,48,NA,2021-04-13,TRUE,NA,"1382015729004900352",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",12,FALSE,FALSE,NA,NA
"8","<U+0001F50D><U+2728> Interested in OCR? 

Follow this example and learn how to train your own model for CAPTCHAs.

Take a look <U+0001F449>… https://t.co/pqwvsq0mpk",FALSE,479,NA,2021-04-08,TRUE,NA,"1380233994600656906",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","TensorFlow",117,FALSE,FALSE,NA,NA
"9","<U+0001F6CE> TensorFlow2.5.0-rc0 has been released.

Read along to see all the new major features and improvements <U+2193> https://t.co/JCwXHycZxR",FALSE,301,NA,2021-04-07,FALSE,NA,"1379828442909184002",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",76,FALSE,FALSE,NA,NA
"10","<U+0001F4AD> Let's have a #DevToolsChat!

Join Penporn Koanantakool at @GoogleAI and AG Ramesh at @IntelAI Tuesday, April 13 a… https://t.co/7OdIfERj3h",FALSE,79,NA,2021-04-06,TRUE,NA,"1379510192803520512",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TensorFlow",27,FALSE,FALSE,NA,NA
